c_personid,c_sequence,c_status_code,c_status_desc,c_status_desc_chn,c_firstyear,c_lastyear,c_source,c_pages,c_notes
40255,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,4291,
40256,0,137,outer noblewoman,[外命婦],,,0,,封贈淑人
40257,0,141,dynastic martyr,死國難,,,0,,
40258,0,146,Neo-Confucian thinker (lixue),理學家,,,7596,13716,
40258,1,249,thinker,思想家,,,40330,,
40260,0,40,civil office,[為官者：文],,,0,,
40261,0,12,Confucian learning,儒學,,,0,,
40270,0,40,civil office,[為官者：文],,,0,,
40271,0,150,dynastic loyalist,遺民,,,0,,
40271,1,117,refused office,拒絕出仕,,,9599,3624,有薦之者
40273,0,137,outer noblewoman,[外命婦],,,0,,曾受封榮國夫人、定國夫人。
40278,0,67,office: medical office,[醫官],,,0,,
40279,0,67,office: medical office,[醫官],,,0,,
40280,0,107,local teacher,鄉先生,,,7596,4395,
40281,0,19,Daoist priest,道士,,,7596,4396,
40284,0,40,civil office,[為官者：文],,,0,,
40284,0,94,teacher,收徒講學,,,7596,4297,
40285,0,114,poet,詩人,,,7596,4402,
40285,0,139,consort family,外戚,,,0,,
40288,0,71,painter,畫家,,,0,,善圖繪村田景致，常於御街鬻其所畫田樂常酣圖之類，可娛俗眼而已。
40290,0,33,farmer,農民,,,7596,4552,
40290,0,147,filial son/daughter,孝子/孝女,,,7596,4552,
40292,0,8,buddhist monk,僧人,1023,1109,7596,24705,《達大師塔記》記載，釋顯達六歲出家。
40295,0,8,buddhist monk,僧人,,,7596,24704,
40296,0,8,buddhist monk,僧人,,,7596,24703,
40297,0,190,scholar of Classics (Book of Documents),經學家—尚書,,,7596,4454,
40297,0,238,rhapsody writer,工於作賦,,,7596,4454,
40298,0,8,buddhist monk,僧人,,,7596,24702,
40299,0,8,buddhist monk,僧人,,,7596,24701,
40300,0,48,ruler,統治者,,,7596,4185,
40301,0,9,calligrapher,書法家,,,0,,
40301,0,36,local literatus / gentry,地方士人/鄉紳,,,0,,
