source_id,source_name,target_id,target_name,category,detail_types
53565,釋常聰,7111,黃庭堅,其他,佛寺記由Y所作|為Y作佛寺記
53565,釋常聰,3767,蘇軾,文學交往,致書Y|被致書由Y
49477,楊薦,3767,蘇軾,其他,字說、名述由Y所作|為Y作字說、名述
53576,釋敏行,10173,文同,其他,佛寺記由Y所作|為Y作佛寺記|為Y作臨別贈言(送別詩、序)|臨別得到Y所作贈言(送別詩、序)
53576,釋敏行,3767,蘇軾,其他,佛寺記由Y所作|收到Y的贈詩、文|為Y作佛寺記|贈詩、文
333,章惇,1324,呂陶,其他,彈劾|被Y彈劾
333,章惇,1493,蘇轍,其他,反對/攻訐|彈劾|被Y彈劾|遭到Y的反對/攻訐
333,章惇,9007,趙煦,其他,彈劾|被Y彈劾
333,章惇,3256,朱服,其他,彈劾|拒絕會面|會面的邀請被Y拒絕|被Y彈劾
333,章惇,634,韓縝,其他,反對/攻訐|遭到Y的反對/攻訐
333,章惇,7026,范祖禹,其他,其政策被Y反對/不支持|反對/不支持Y的政策|反對/攻訐|遭到Y的反對/攻訐
333,章惇,51767,劉渤,其他,反對/攻訐|遭到Y的反對/攻訐
333,章惇,1707,曾布,其他,欣賞/器重|致書Y|被Y欣賞/器重|被致書由Y
333,章惇,1762,王安石,其他,喜爱|得到Y的喜爱|欣賞/器重|致書Y|被Y欣賞/器重|被致書由Y
333,章惇,8085,林希,其他,得到Y的支持|支持|與Y結黨
333,章惇,728,謝景溫,其他,得到Y的支持|支持
333,章惇,962,來之邵,其他,得到Y的支持|支持
333,章惇,1309,呂惠卿,其他,忌/惡|排擠|為Y所忌/惡|遭Y排擠
333,章惇,1327,呂大防,其他,排擠|被Y陷害|遭Y排擠|陷害Y
333,章惇,7045,劉安世,其他,忌/惡|排擠|為Y之門客|為Y所忌/惡|遭Y排擠|門客為Y
333,章惇,3640,陸游,文學交往,書跋由Y所作|為Y所著書作跋
333,章惇,8078,李綱,其他,傳記作者為Y|為Y作傳|稱道Y之節行|節行為Y所稱道
333,章惇,7111,黃庭堅,其他,忌/惡|為Y所忌/惡
333,章惇,25030,孫諤,其他,忌/惡|為Y所忌/惡
333,章惇,1195,劉奉世,其他,拒絕在Y主政的政府中任職|拒絕在Y的主政期出仕
333,章惇,1408,蒲宗孟,其他,相唱和
333,章惇,8126,鄧潤甫,其他,其政策被Y反對/不支持|反對/不支持Y的政策
333,章惇,586,范子奇,友人,同僚
333,章惇,3767,蘇軾,文學交往,致書Y|被致書由Y
345,章楶,1789,王兢,其他,推薦|被Y推薦
345,章楶,1707,曾布,文學交往,致書Y|被致書由Y
345,章楶,3767,蘇軾,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名|致書Y|被致書由Y
345,章楶,1417,畢仲游,其他,建築物得到Y的題詠、記、命名|為Y之建築物題詠、記、命名
345,章楶,427910,郭景脩,其他,上司為Y|下屬為Y
24925,趙令畤,3767,蘇軾,其他,字說、名述由Y所作|從Y遊|從遊者為Y|推薦|為Y作字說、名述|致書Y|被Y推薦|被致書由Y
24925,趙令畤,7026,范祖禹,其他,推薦|被Y推薦
24925,趙令畤,14299,李廌,墓誌傳記,墓誌銘由Y所作|書序由Y所作|書跋由Y所作|為Y作墓誌銘|為Y所著書作序|為Y所著書作跋
24925,趙令畤,7197,周必大,墓誌傳記,墓誌銘由Y所作|書跋由Y所作|為Y作墓誌銘|為Y所著書作跋
24925,趙令畤,3257,朱熹,文學交往,書跋由Y所作|為Y所著書作跋
41315,李伯祥,3767,蘇軾,其他,稱道Y的詩作|詩作為Y所稱道
26981,釋處嚴,10598,王十朋,墓誌傳記,墓誌銘由Y所作|書序由Y所作|為Y作墓誌銘|為Y所著書作序
26981,釋處嚴,3767,蘇軾,其他,與Y遊
10598,王十朋,1651,蔡襄,文學交往,書序由Y所作|為Y所著書作序
10598,王十朋,1759,汪應辰,墓誌傳記,墓誌銘由Y所作|書跋由Y所作|為Y作墓誌銘|為Y所著書作跋|致書Y|被致書由Y
10598,王十朋,3257,朱熹,文學交往,書跋由Y所作|為Y所著書作跋|致書Y|被致書由Y
10598,王十朋,7197,周必大,文學交往,書跋由Y所作|為Y所著書作跋
10598,王十朋,3624,樓鑰,其他,收到Y的啓|為Y作祭文|祭文由Y所作|致Y啓
10598,王十朋,8043,范仲淹,其他,世系碑記由Y所作|為Y作世系碑記|為Y作畫贊(畫像記)|為Y作祠記|畫贊(畫像記)由Y所作|祠記由Y所作
10598,王十朋,375,趙抃,其他,為Y作畫贊(畫像記)|畫贊(畫像記)由Y所作
