personid,name,degree,new_camp_connections,old_camp_connections,main_relation_types
1414,鮑由,3,1,1,為Y學派的成員; 該學派的成員為Y; 為Y之學生; 學生為Y; 友
44956,孫鼛,4,1,1,答Y書; 收到Y的答書; 致書Y; 被致書由Y
1717,祖無擇,29,1,1,同會; 致書Y; 被致書由Y; 為Y所忌/惡; 忌/惡
3256,朱服,6,1,1,被Y彈劾; 拒絕會面; 彈劾; 會面的邀請被Y拒絕; 為Y之學生
10566,楊萬里,345,1,1,書跋由Y所作; 為Y所著書作跋; 為Y作祠記; 祠記由Y所作
3718,邵雍,57,1,1,從Y遊; 祭文由Y所作; 從遊者為Y; 與Y遊; 為Y作祭文
43033,孫立節,6,1,1,拒絕在Y的主政期出仕; 拒絕在Y主政的政府中任職; 被Y欣賞/器重; 收到Y的贈詩、文; 欣賞/器重
8098,陸佃,73,1,1,傳經於Y; 祭文由Y所作; 為Y所著書作跋; 為Y作祭文; 書跋由Y所作
10565,胡銓,155,1,1,書序由Y所作; 為Y所著書作序; 書跋由Y所作; 為Y所著書作跋
1645,蔡承禧,4,1,1,反對/攻訐; 遭到Y的反對/攻訐; 致書Y; 為Y作祭文; 祭文由Y所作
1847,王拱辰,18,1,1,書序由Y所作; 為Y所著書作序; 致書Y; 被致書由Y
9007,趙煦,3,1,1,被Y彈劾; 彈劾; 為Y作畫贊(畫像記); 得罪Y; 畫贊(畫像記)由Y所作
3828,唐坰,4,1,1,推薦; 反對/攻訐; 遭到Y的反對/攻訐; 被Y推薦; 收藏品由Y作跋
1302,呂和卿,2,1,1,被Y彈劾; 彈劾; 推薦; 被Y推薦
1514,孫長卿,2,1,1,被Y彈劾; 上奏論Y; 彈劾; 被Y奏論; 墓誌銘由Y所作
11135,余象,9,1,1,被Y欣賞/器重; 欣賞/器重; 被Y彈劾; 彈劾
7404,葉濤,9,1,1,其政策被Y反對/不支持; 反對/不支持Y的政策; 為Y之學生; 學生為Y
