dynasty,addr_chn,count,avg_lat,median_lat
清,崇明,3,31.627645493,31.627645493
清,嵊縣,3,29.587490082,29.587490082
清,懷來,3,40.346069336,40.346069336
清,曹縣,3,34.827587128,34.827587128
清,束鹿,3,37.84853363,37.84853363
清,東平州,3,35.91034317,35.91034317
清,東昌府,3,36.447738647,36.447738647
清,永城,3,33.93945694,33.93945694
清,江蘇省,3,31.312709808000005,31.312709808
清,江陰,3,31.908769738666667,31.908769608
清,海門,3,,
清,淄川,3,36.635994,36.635994
清,清朝,3,,
清,清苑,3,38.82266332733334,38.855701
清,滄州,3,38.308998108,38.308998108
清,漢陽府,3,30.544374466000004,30.544374466
清,烏程,3,30.86496384366667,30.864964
清,祥符,3,34.785477,34.785477
清,秀水,3,30.767469406,30.767469406
清,縉雲,3,28.648391724000003,28.648391724
清,豫章道,3,,
清,辰州府,3,28.458190918,28.458190918
清,遵化直隸州,3,40.184448242,40.184448242
清,遼陽州,3,41.265850067,41.265850067
清,長沙,3,28.198198318,28.198198318
清,長洲,3,31.31271,31.31271
清,開封府,3,34.785477,34.785477
清,雷州府,3,20.901958466,20.901958466
清,霸州,3,39.101537068666666,39.101535797
清,高安,3,28.425598145,28.425598145
清,黃岡,3,30.44698710133333,30.446987152
清,黃巖,3,28.642612457,28.642612457
清,黑龍江將軍轄區,3,,
清,九江,2,,
清,元和,2,31.312709808,31.312709808
清,六安直隸州,2,31.754594803,31.754594803
清,北京省市,2,,
清,南京,2,32.052562714,32.052562714
清,南召,2,33.445316315,33.445316315
清,南安,2,24.953764,24.953764
清,南康府,2,29.453485489,29.453485489
清,南雄直隸州直轄地方,2,25.118843079,25.118843079
清,和闐直隸州,2,37.105922699,37.105922699
清,咸寧,2,34.317987,34.317987
清,喀什噶爾道,2,,
清,固安,2,39.435630798,39.435630798
清,天門,2,30.65625,30.65625
清,太倉直隸州,2,31.451000214,31.451000214
清,太倉直隸州直轄地方,2,31.451000214,31.451000214
清,太湖,2,30.420059204,30.420059204
清,奉化,2,29.651657052,29.651657052
清,婺源,2,29.244728088,29.244728088
清,孝感,2,30.926222,30.926222
清,孟津,2,34.811684,34.811684
清,孟連土司,2,22.340000153,22.340000153
清,安州,2,38.87537384,38.87537384
清,安慶府,2,30.512294769,30.512294769
清,定州直隸州,2,38.520061493,38.520061493
清,定番州,2,26.138755798,26.138755798
清,定縣,2,,
清,定興,2,39.269592285,39.269592285
清,宿州,2,33.642368317,33.642368317
清,寧國府,2,30.946941376,30.946941376
清,寧夏府,2,38.466972351,38.466972351
清,山海關道,2,,
清,巴西,2,31.464276,31.464276
清,常山,2,28.9037323,28.9037323
清,平樂,2,24.635726929,24.635726929
清,廈門廳,2,24.450399399,24.450399399
清,廣信府,2,28.450689316,28.450689316
清,廣宗,2,37.068099976,37.068099976
清,廬州府,2,31.864456177,31.864456177
清,建德,2,29.8343336385,29.8343336385
清,惠州府,2,23.09031105,23.09031105
清,慶遠府,2,24.490730286,24.490730286
清,懋功直隸廳,2,30.992862701,30.992862701
清,懷寧,2,30.5122948845,30.5122948845
清,掖縣,2,37.17543,37.17543
清,文安,2,,
清,新疆省,2,43.790721893,43.790721893
清,新鄉,2,35.309940338,35.309940338
清,日本,2,,
清,曲沃,2,35.641285,35.641285
清,杞縣,2,34.5535127865,34.5535127865
清,柳州府,2,24.309988022,24.309988022
清,桂平,2,23.394571304,23.394571304
清,桂林府,2,25.280059814,25.280059814
清,桐柏,2,32.370746613,32.370746613
清,樂安,2,27.426288605,27.426288605
清,欒城,2,37.885780334,37.885780334
清,歸安,2,30.8649637655,30.8649637655
清,比利時,2,,
清,永康,2,28.897268295,28.897268295
清,江夏,2,30.541385651,30.541385651
清,江浦,2,32.064868927,32.064868927
清,河北道,2,,
