dynasty,addr_chn,region,count,x_coord,y_coord
宋,將樂,南,62,117.45501699999998,26.720821
宋,廣安軍,南,62,106.6402,30.474
宋,壽昌,南,61,119.219635,29.369589
宋,常山,南,61,118.502663,28.903732
宋,真州,南,61,119.177627,32.267544
宋,蓬州,南,61,106.36734009,31.038309097
宋,萍鄉,南,60,113.838638,27.631424
宋,贛縣,南,60,114.93248,25.847
宋,遂昌,南,60,119.26346600000001,28.587894
宋,鹽官,南,60,120.537499,30.40628
宋,江都,南,59,119.43718700000001,32.39127
宋,江陵,南,59,112.19077299999998,30.350445
宋,江華,南,57,111.67588199999999,25.113683
宋,溫州,南,57,120.6532211277193,28.018291464701758
宋,萬年,北,57,108.937189,34.317987
宋,仁和,南,55,120.168625,30.294125
宋,夏縣,北,55,111.220055,35.137451
宋,山陽,北,55,119.141106,33.502789
宋,成都府,南,55,104.0779953,30.650384903
宋,鄂州,南,54,114.30666319481482,30.573669454962964
宋,鎮江府,南,54,119.44429,32.20649
宋,富順,南,52,104.98831177000001,29.188720703
宋,小溪,南,51,105.570206,30.503918000000002
宋,明州,南,51,121.54265594,29.866315842
宋,晉原,南,51,103.672607,30.636564
宋,杭州,南,51,120.16862488,30.294124603
宋,武寧,南,51,115.099584,29.277487
宋,益都,北,51,118.478098,36.69748
宋,耀州,北,51,108.9715,34.91327
宋,茶陵,南,51,113.55217,26.801975
宋,南雄州,南,50,114.302086,25.118843
宋,彭城,北,50,117.18768300000002,34.269634
宋,桐廬,南,50,119.66493988,29.802457808999996
宋,句容,南,49,119.162735,31.946535000000004
宋,廣德,南,49,119.42018900000001,30.894686
宋,彭山,南,49,103.869247,30.200752
宋,真定,北,49,114.563645,38.14011
宋,磐石,南,49,104.848358,29.784748
宋,綿竹,南,49,104.197617,31.342484
宋,連州,南,49,112.378121,24.779701000000003
宋,道州,南,49,111.59088135,25.531356812
宋,井研,南,48,104.07743799999999,29.658509999999996
宋,大名,北,48,115.15036125,36.258776250000004
宋,無為,南,48,117.911316,31.298515
宋,綿州,南,48,104.74929809999999,31.459007263
宋,台州,南,47,121.12059784000002,28.843132019
宋,安吉,南,47,119.73822599999998,30.744599
宋,渠州,南,47,106.96224200000002,30.844326
宋,順昌,南,47,117.806282,26.797091
宋,樂昌,南,46,113.23656567391305,25.09208906521739
宋,衢州,南,46,118.86764526,28.956821442
宋,袁州,南,46,114.37588500000001,27.794265999999997
宋,內江,南,45,105.053894,29.580755
宋,射洪,南,45,105.276024,30.989159000000004
宋,永城,北,45,116.36399841000001,33.93945694
宋,海陵,南,45,119.91123999999999,32.495872
宋,蕭山,南,45,120.25893400000001,30.161488
宋,郫縣,南,45,103.888771,30.807074
宋,平江,南,44,113.57494300000002,28.709812
宋,晉陵,南,44,119.95230100000002,31.782783999999996
宋,處州,南,44,119.91300963999998,28.448732376
宋,陽翟,北,44,113.467056,34.162491
宋,饒州,南,44,116.66383362,28.994167328
宋,泰州海岸海水,北,43,120.52417,33.21192
宋,象山,南,43,121.86618,29.474428
宋,青陽,南,43,117.863052,30.636639000000002
