personid,name,dynasty,one_liner,bio_paragraph,word_count
8163,吳敏,宋,吳敏，宋人，揚子人，宰執。,吳敏，宋人，籍貫揚子。為宰執。一生主要活動於揚子、六合。與蔡翛、余應球、耿南仲、蔡攸、江端友等人交遊唱和。,53
14011,張炎,宋,張炎（1248-1320），宋人，臨安人，詞人、士人。,張炎，宋人，籍貫臨安。生於1248年，卒於1320年。為詞人、士人。一生主要活動於成紀、臨安。與陸文圭、鄭思肖、黃公望、袁桷、屠約等人交遊唱和。,72
14967,詹體仁,宋,詹體仁（1143-1206），宋人，崇安人，理學家、博學之人、財政官員。,詹體仁，宋人，籍貫崇安。生於1143年，卒於1206年。為理學家、博學之人、財政官員。一生主要活動於崇安。與朱熹、真德秀、詹初、元書、周必大等人交遊唱和。,77
15443,王洋,宋,王洋（1087-1153），宋人，金華人，為官者。,王洋，宋人，籍貫金華。生於1087年，卒於1153年。為官者。一生主要活動於金華、山陽、信州。與周必大、王彥隆、沈良能、李商叟、吳諮等人交遊唱和。,73
27385,魏掞之,宋,魏掞之（1116-1173），宋人，建陽人，布衣、落第士人、理學家。,魏掞之，宋人，籍貫建陽。生於1116年，卒於1173年。為布衣、落第士人、理學家。一生主要活動於建陽。與朱熹、曾覿、王安石、呂祖謙、員興宗等人交遊唱和。,76
29845,林逋,宋,林逋（957-1028），宋人，錢塘人，書法家、隱士、詩人。,林逋，宋人，籍貫錢塘。生於957年，卒於1028年。為書法家、隱士、詩人。一生主要活動於錢塘。與劉克莊、陸游、薛映、葉曙、林表民等人交遊唱和。,71
29944,林表民,宋,林表民（0-0），宋人，臨海人，為官者。,林表民，宋人，籍貫臨海。生於0年，卒於0年。為官者。一生主要活動於臨海。與李之儀、應翔孫、應㒡、林師蒧、錢可則等人交遊唱和。,62
1575,宋綬,宋,宋綬（991-1040），宋人，平棘人，藏書家、校堪學家、財政官員。,宋綬，宋人，籍貫平棘。生於991年，卒於1040年。為藏書家、校堪學家、財政官員。一生主要活動於平棘。與黃庭堅、晁補之、汪應辰、文彥博、陳傅良等人交遊唱和。,78
1617,田況,宋,田況（1005-1063），宋人，開封人，財政官員、宰執。,田況，宋人，籍貫開封。生於1005年，卒於1063年。為財政官員、宰執。一生主要活動於信都、陽翟、開封。與王安石、夏竦、范純仁、令狐挻、范祖禹等人交遊唱和。,78
11287,鄭樵,宋,鄭樵（1104-1162），宋人，莆田人，天文學家（星象家）、博學之人、收藏家。,鄭樵，宋人，籍貫莆田。生於1104年，卒於1162年。為天文學家（星象家）、博學之人、收藏家。一生主要活動於莆田。與陸游、林霆、汪應辰、朱德潤、劉克莊等人交遊唱和。,82
11959,陳元晉,宋,陳元晉（0-0），宋人，崇仁人，良吏;循吏、為官者。,陳元晉，宋人，籍貫崇仁。生於0年，卒於0年。為良吏;循吏、為官者。一生主要活動於崇仁。與陳元晉、程頤、雷孝友、何異、樂大章等人交遊唱和。,68
12890,陳韡,宋,陳韡（1180-1261），宋人，侯官人，為官者。,陳韡，宋人，籍貫侯官。生於1180年，卒於1261年。為官者。一生主要活動於侯官。與劉克莊、真德秀、葉適、李昴英、宋慈等人交遊唱和。,66
13807,程公許,宋,程公許（0-0），宋人，烏程人，為官者。,程公許，宋人，籍貫烏程。生於0年，卒於0年。為官者。一生主要活動於烏程、眉山、宣化、宜賓。與程公許、胡侊、度正、宋煇、趙㮚等人交遊唱和。,68
13893,馮時行,宋,馮時行（?- 1163），宋人，壁山人，經學家—易經、為官者。,馮時行，宋人，籍貫壁山。卒於1163年。為經學家—易經、為官者。一生主要活動於壁山。與秦檜、員興宗、施晉卿、于格、晁公武等人交遊唱和。,67
14355,林季仲,宋,林季仲，宋人，永嘉人，為官者。,林季仲，宋人，籍貫永嘉。為官者。一生主要活動於永嘉。與秦檜、林叔豹、朱京、許景衡、席益等人交遊唱和。,50
16504,徐僑,宋,徐僑（1160-1237），宋人，義烏人，理學家、為官者。,徐僑，宋人，籍貫義烏。生於1160年，卒於1237年。為理學家、為官者。一生主要活動於義烏。與朱熹、呂祖謙、吳師道、劉宰、余嶸等人交遊唱和。,70
24294,李成,宋,李成（?- 965），宋人，長安人，音樂學家、圍棋棋手、精於某種樂器。,李成，宋人，籍貫長安。卒於965年。為音樂學家、圍棋棋手、精於某種樂器。一生主要活動於益都、京兆府、長安。與郝孝隆、郭鐵子(別號)、衛融、李宗成、周鼐等人交遊唱和。,82
27722,汪莘,宋,汪莘（1155-1227），宋人，休寧人，隱士、理學家、博學之人。,汪莘，宋人，籍貫休寧。生於1155年，卒於1227年。為隱士、理學家、博學之人。一生主要活動於休寧。與朱熹、孫嶸叟、李以申、劉次臯、宇文十朋等人交遊唱和。,77
27759,穆修,宋,穆修（979-1032），宋人，汝陽人，數學家、理學家、為官者。,穆修，宋人，籍貫汝陽。生於979年，卒於1032年。為數學家、理學家、為官者。一生主要活動於汝陽、須城、鄆州。與蘇舜欽、任中正、李之才、蘇舜賓、种放等人交遊唱和。,81
41511,吳泳,宋,吳泳（?- 1275），宋人，崇仁人，死國難。,吳泳，宋人，籍貫崇仁。卒於1275年。為死國難。一生主要活動於崇仁。與魏了翁、程掌、蔣重珍、家𢴍、胡穎等人交遊唱和。,58
1571,宋敏求,宋,宋敏求（1019-1079），宋人，平棘人，藏書家、校堪學家、版本學家。,宋敏求，宋人，籍貫平棘。生於1019年，卒於1079年。為藏書家、校堪學家、版本學家。一生主要活動於平棘。與歐陽修、畢仲游、司馬光、蘇頌、劉克莊等人交遊唱和。,79
1970,吳芾,宋,吳芾（1104-1183），宋人，仙居人，為官者、財政官員。,吳芾，宋人，籍貫仙居。生於1104年，卒於1183年。為官者、財政官員。一生主要活動於臨安府、婺州、仙居、處州、太平州。與秦檜、李之儀、左達功、朱熹、陳氏(朱伯履妻)等人交遊唱和。,90
9008,趙佶,宋,趙佶（1082-1135），宋人，五國人，統治者、皇帝。,趙佶，宋人，籍貫五國。生於1082年，卒於1135年。為統治者、皇帝。一生主要活動於韓州、開封、五國、開封府、亳州。與高斯得、司馬光、林靈素、吳侔、吳儲等人交遊唱和。,83
27814,舒嶽祥,宋,舒嶽祥（1236-1298），宋人，寧海人，為官者、隱居（有隱德）。,舒嶽祥，宋人，籍貫寧海。生於1236年，卒於1298年。為官者、隱居（有隱德）。一生主要活動於寧海。與劉莊孫、林處恭、戴表元、袁桷、董景愈等人交遊唱和。,76
1593,唐介,宋,唐介（1010-1069），宋人，江陵人，財政官員、宰執。,唐介，宋人，籍貫江陵。生於1010年，卒於1069年。為財政官員、宰執。一生主要活動於江陵。與葛勝仲、劉摯、袁桷、張守、王十朋等人交遊唱和。,70
3134,張俊,宋,張俊，宋人，吳縣人，武官。,張俊，宋人，籍貫吳縣。為武官。一生主要活動於吳縣、成紀。與戚方、秦檜、周麟之、岳飛、田師中等人交遊唱和。,52
3907,曾協,宋,曾協（0-1173），宋人，德清人，落第士人、業進士、為官者。,曾協，宋人，籍貫德清。生於0年，卒於1173年。為落第士人、業進士、為官者。一生主要活動於德清、丹徒、南豐。與強行父、曾協、傅景裴、詹體仁、程顥等人交遊唱和。,79
10658,劉光祖,宋,劉光祖（1142-1222），宋人，德清人，史學家、財政官員。,劉光祖，宋人，籍貫德清。生於1142年，卒於1222年。為史學家、財政官員。一生主要活動於德清、陽安。與魏了翁、朱熹、度正、呂殊、杜廣心等人交遊唱和。,75
15270,周孚,宋,周孚（1135-1177），宋人，丹徒人，士人、詩人、詞人。,周孚，宋人，籍貫丹徒。生於1135年，卒於1177年。為士人、詩人、詞人。一生主要活動於丹徒、歷城、齊州。與辛棄疾、朱叔珤、鄭樵、丘崈、柴氏(王勝妻)等人交遊唱和。,82
22389,吳獵,宋,吳獵（1143-1213），宋人，善化人，財政官員、思想家。,吳獵，宋人，籍貫善化。生於1143年，卒於1213年。為財政官員、思想家。一生主要活動於善化、醴陵。與魏了翁、度正、朱熹、歐陽守道、安世通等人交遊唱和。,76
49048,傅寅,宋,傅寅（1148-1215），宋人，義烏人，天文學家（星象家）、博學之人、地理學家。,傅寅，宋人，籍貫義烏。生於1148年，卒於1215年。為天文學家（星象家）、博學之人、地理學家。一生主要活動於東陽、義烏。與孫礿、葉適、蘇伯衡、戴溪、傅師蒙等人交遊唱和。,85
450811,趙九成,宋,趙九成，宋人，好金石。,趙九成，宋人。為好金石。與范雍、克中、克一、祖博、張壻等人交遊唱和。,34
461,蔣之奇,宋,蔣之奇（1031-1104），宋人，宜興人，好金石、入元祐黨籍者、財政官員。,蔣之奇，宋人，籍貫宜興。生於1031年，卒於1104年。為好金石、入元祐黨籍者、財政官員。一生主要活動於宜興。與王安石、華鎮、丁隲、歐陽修、仲并等人交遊唱和。,79
465,蔣堂,宋,蔣堂（980-1054），宋人，吳縣人，工於文、好學、財政官員。,蔣堂，宋人，籍貫吳縣。生於980年，卒於1054年。為工於文、好學、財政官員。一生主要活動於吳縣、宜興。與宋祁、張方平、施堪、魏了翁、蔣之奇等人交遊唱和。,77
1391,龐籍,宋,龐籍（988-1063），宋人，成武人，財政官員、宰執。,龐籍，宋人，籍貫成武。生於988年，卒於1063年。為財政官員、宰執。一生主要活動於成武。與司馬光、強至、周必大、高良夫、夏竦等人交遊唱和。,70
1760,王安禮,宋,王安禮（1034-1095），宋人，臨川人，財政官員、思想家、宰執。,王安禮，宋人，籍貫臨川。生於1034年，卒於1095年。為財政官員、思想家、宰執。一生主要活動於臨川。與岑象求、蘇軾、呂公弼、劉克莊、趙仲罃等人交遊唱和。,77
8085,林希,宋,林希，宋人，福清人，好金石、宰執。,林希，宋人，籍貫福清。為好金石、宰執。一生主要活動於福清。與章惇、蘇軾、朱熹、傅察、劉摯等人交遊唱和。,51
10592,鄭伯熊,宋,鄭伯熊（0-0），宋人，永嘉人，為官者。,鄭伯熊，宋人，籍貫永嘉。生於0年，卒於0年。為官者。一生主要活動於永嘉。與陳傅良、朱熹、朱伯起、葉適、周必大等人交遊唱和。,61
10900,梁克家,宋,梁克家（1128-1187），宋人，晉江人，宰執。,梁克家，宋人，籍貫晉江。生於1128年，卒於1187年。為宰執。一生主要活動於晉江。與薛季宣、周必大、陳傅良、朱熹、曾丰等人交遊唱和。,67
33320,李侗,宋,李侗（1093-1163），宋人，劍浦人，理學家、士人、思想家。,李侗，宋人，籍貫劍浦。生於1093年，卒於1163年。為理學家、士人、思想家。一生主要活動於劍浦。與朱熹、羅博文、林表民、劉玶、劉嘉譽等人交遊唱和。,74
291,張舜民,宋,張舜民（0-0），宋人，新平人，詩人、好金石、財政官員。,張舜民，宋人，籍貫新平。生於0年，卒於0年。為詩人、好金石、財政官員。一生主要活動於新平。與司馬光、黃伯思、范祖禹、畢仲游、趙明誠等人交遊唱和。,72
1094,李燾,宋,李燾（1115-1184），宋人，丹稜人，史學家、小學家、博學之人。,李燾，宋人，籍貫丹稜。生於1115年，卒於1184年。為史學家、小學家、博學之人。一生主要活動於丹稜。與周必大、呂祖謙、汪應辰、㬊淵、謝疇等人交遊唱和。,76
1237,劉才邵,宋,劉才邵（1086-1158），宋人，廬陵人，財政官員。,劉才邵，宋人，籍貫廬陵。生於1086年，卒於1158年。為財政官員。一生主要活動於廬陵。與李彌遜、歐陽伯虎、彭氏(李發母)、羅無兢、劉紀明等人交遊唱和。,76
1647,蔡確,宋,蔡確，宋人，晉江人，財政官員、宰執。,蔡確，宋人，籍貫晉江。為財政官員、宰執。一生主要活動於晉江。與吳處厚、王安石、裴彥臣、蘇轍、汪應辰等人交遊唱和。,56
1768,王欽若,宋,王欽若（962-1025），宋人，新喻人，財政官員、宰執。,王欽若，宋人，籍貫新喻。生於962年，卒於1025年。為財政官員、宰執。一生主要活動於新喻。與夏竦、丁謂、任顓、劉忠順、林特等人交遊唱和。,69
7084,王鞏,宋,王鞏（?- 0），宋人，莘縣人，詩人、為官者、入元祐黨籍者。,王鞏，宋人，籍貫莘縣。卒於0年。為詩人、為官者、入元祐黨籍者。一生主要活動於莘縣。與蘇軾、蘇轍、張方平、黃庭堅、周必大等人交遊唱和。,66
10010,唐仲友,宋,唐仲友（1136-1188），宋人，金華人，天文學家（星象家）、史學家、理學家。,唐仲友，宋人，籍貫金華。生於1136年，卒於1188年。為天文學家（星象家）、史學家、理學家。一生主要活動於金華。與朱熹、周必大、丁時發、葉秀發、傅定等人交遊唱和。,82
