作品编号	得分构型	作品类别
2022040065	100	数媒动漫与短片专业组
2022040088	100	人工智能应用
2022039903	100	数媒动漫与短片专业组
2022005650	100	信息可视化设计
2022040294	100	数媒静态设计专业组
2022005831	100	软件应用与开发
2022039437	100	物联网应用
2022037016	100	微课与教学辅助
2022038854	100	信息可视化设计
2022006000	100	人工智能应用
2022039011	100	数媒动漫与短片
2022006045	100	大数据应用
2022038753	100	信息可视化设计
2022038409	100	数媒动漫与短片
2022038667	100	软件应用与开发
2022046590	100	数媒静态设计专业组
2022008476	100	人工智能应用
2022038439	100	数媒动漫与短片
2022025035	100	微课与教学辅助
2022026804	100	软件应用与开发
2022044061	100	信息可视化设计
2022044538	100	微课与教学辅助
2022043866	100	数媒动漫与短片
2022034653	100	软件应用与开发
2022007610	100	数媒静态设计
2022028197	100	信息可视化设计
2022036761	100	软件应用与开发
2022043344	100	数媒动漫与短片专业组
2022043321	100	微课与教学辅助
2022029051	100	数媒动漫与短片专业组
2022035055	100	信息可视化设计
2022036658	100	信息可视化设计
2022036707	100	软件应用与开发
2022043127	100	信息可视化设计
2022000333	100	数媒静态设计专业组
2022035180	100	数媒动漫与短片专业组
2022030311	100	数媒游戏与交互设计专业组
2022044230	100	大数据应用
2022046139	100	数媒静态设计专业组
2022004940	100	微课与教学辅助
2022007611	100	软件应用与开发
2022032348	100	数媒静态设计
2022042063	100	人工智能应用
2022007916	100	软件应用与开发
2022035541	100	物联网应用
2022005394	100	人工智能应用
2022004987	100	人工智能应用
2022007782	100	软件应用与开发
2022041881	100	物联网应用
2022035460	100	数媒动漫与短片
2022033661	100	软件应用与开发
2022040376	100	软件应用与开发
2022035888	100	微课与教学辅助
2022025704	100	数媒游戏与交互设计
2022042985	100	数媒游戏与交互设计
2022035594	000	人工智能应用
2022008815	000	信息可视化设计
2022010087	000	数媒动漫与短片专业组
2022038679	000	微课与教学辅助
2022009137	000	微课与教学辅助
2022020855	000	信息可视化设计
2022036272	000	数媒游戏与交互设计
2022036244	000	数媒动漫与短片
2022010974	000	微课与教学辅助
